id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
02LJdBgyfq01WtSX05OJkc,Jalsaghar - Adrishyo Nagordolar Trip,Anupam Roy,Kind of Popular,2023,Mid-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
036Q1Xb7IMzavuIjbSU2aX,Noishobdo,Bangla Five,Not Popular,2022,Mid-dance,Low Energy,Non-enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
04K08nBMizx2UQeZ4hDUQp,Janina,Sovvota,Not Popular,2017,Mid-dance,Low Energy,Non-enharmonic,Quiet,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
06f2IXt2LBVrQzfFBtRw21,Ekhane Poth Amar,Sovvota,Not Popular,2017,No-dance,High Energy,Non-enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
06k6GyUDtvIgLb4YQftb9G,Na Bola Phul,Meghdol,Kind of Popular,2019,Mid-dance,Low Energy,Non-enharmonic,Quiet,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
06zGGUSIzFlKhtIBaTnOOO,Maa Dake Khoka,Chandrabindoo,Kind of Popular,2003,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
072krlEvVII8yldKfs2cgy,Jodi Bolo Hya,Chandrabindoo,Kind of Popular,1998,Mid-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
07IzbmNu8DAjukHhTNOeaJ,Jodi Bhabo Pabe,Chandrabindoo,Not Popular,2005,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
07qgJazJQyknsbmuJZDL6N,Bhondo,Oblique,Kind of Popular,2018,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
082QypyxxyoVU0rRSo4Nkm,Shesh Prohor,Balam,Not Popular,2017,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
08IgjdJ0rCy1pAm2N5VLSZ,Bondhurey,Muza,Popular,2018,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
0a2cxKc5iJJZ8qFEPYg2yr,Utshorgo,Aftermath,Popular,2021,No-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0A8EYRX6C8yP2pvexZbgAu,Rokto,Bangla Five,Not Popular,2022,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0aGklYNgdWiQfeNxoqN1Sc,Atit Mone Porey Kromosho,Balam,Not Popular,2017,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0ajS0KCtUyW7iWf6ozjaiy,Deshlai Baksho,Anupam Roy,Not Popular,2014,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
0apG1ss6Igy8IJb7ieltBc,Gaibona,Bassbaba Sumon,Popular,2007,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
0ATIgtOb90L93EpbGclKm4,Shobar Jonne Tumi,Bassbaba Sumon,Kind of Popular,2007,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0b2xtRnzcYer5OVu9umziP,Dana Vanga Pakhi’r Gaan,JOler gaan,Not Popular,2019,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Long,Simple
0BIriQWxqMnoefhBTpkcBJ,Amra Dujon - Female Vocals,Mousumi Banerjee,Not Popular,2016,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0bkj0REm4WGy8TkgNjuEuJ,Emon Manob Samaj,Sahana Bajpaie,Not Popular,2016,Mid-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Long,Simple
0bnJj8XCrrMmGYzqyKBuYX,Toker Jatna Nin,Chandrabindoo,Kind of Popular,1999,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Short,Simple
0CfigYkxJEH5LXWdiU6ITl,Vobe Chawa Pawar Sesh Nai,Baul Ranjan Das,Kind of Popular,2023,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Long,Simple
0cwtTFBFSbESTfQBliEOnQ,Bakyobageesh,Anupam Roy,Kind of Popular,2014,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
0DcQwii7VM7mmxuwkmZLgB,Tomaye Dilam,Mohiner Ghoraguli,Popular,1998,Mid-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
0dx9jOghKQHtowZhEO23rF,Jokhon Porbena More,Srikanta Acharya,Kind of Popular,2009,Mid-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0e6aAn3W3nigxZZD9ckx17,Kon Puraton Praner Taney,Sahana Bajpaie,Kind of Popular,2017,Mid-dance,High Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Short,Simple
0fLJBwZIGP33RP4nLyqKrY,Shrotoshinni,Encore,Popular,2018,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0fVxrUWs2jFkXyIxMtVRSb,E Nachi,Mousumi Banerjee,Not Popular,2016,Mid-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
0FWmRjraRmR6KiERSM2780,Bujhe na bujhe,AvoidRafa,Kind of Popular,2022,No-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
0G8Yq3aX2811LD6styZf63,Alga korogo Khopar Badhon,Agniveena,Not Popular,2015,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
0GbtvhytbMRPInl4A0atuo,Tumi Hina,Fuad,Kind of Popular,2017,Mid-dance,Low Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0GDLFsFUeTjd091alQs9wn,Basanta Ronge Ronge Khelchhe Holi,Soumitra Chatterjee,Not Popular,2023,Mid-dance,Low Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
0hfoBhgN6QXpsKUuDDXRQU,Jodi Hay Jibonpuron,Srikanta Acharya,Not Popular,2023,No-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
0HrhSg6tPhofqyX503Fk0K,Aaj Baroi Aka,Piyali Mukherjee,Not Popular,2023,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
0hWmvls0Ij467ywZiCwoWa,Baro Bedonar Moto,Srikanta Acharya,Not Popular,2023,Mid-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
0hXWb6fgywCPEmIPdSPya5,Ami Hethay Thaki,Srikanta Acharya,Not Popular,2023,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
0I7iU9ED0367YvCl2xmCeO,Khoma Kore Dio Amay,Baul Ranjan Das,Kind of Popular,2023,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Long,Simple
0iAkSPCliJozniBFIq5qZO,Moharaj,Balam,Kind of Popular,2017,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
