id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
02LJdBgyfq01WtSX05OJkc,Jalsaghar - Adrishyo Nagordolar Trip,Anupam Roy,12,2023,0.578,0.331,10,-10.499,0.0361,0.939,2.23e-05,0.113,0.126,143.946,248.481,3
036Q1Xb7IMzavuIjbSU2aX,Noishobdo,Bangla Five,2,2022,0.674,0.415,4,-11.48,0.0306,0.175,6.07e-06,0.107,0.221,122.012,290.147,4
04K08nBMizx2UQeZ4hDUQp,Janina,Sovvota,0,2017,0.539,0.352,11,-14.203,0.0307,0.835,0.0017,0.182,0.29,109.948,222.723,4
06f2IXt2LBVrQzfFBtRw21,Ekhane Poth Amar,Sovvota,0,2017,0.497,0.707,4,-11.786,0.0877,0.00248,0.00287,0.1,0.702,149.97,184.179,4
06k6GyUDtvIgLb4YQftb9G,Na Bola Phul,Meghdol,26,2019,0.657,0.286,11,-14.754,0.0327,0.718,0.01,0.169,0.674,93.917,287.125,4
06zGGUSIzFlKhtIBaTnOOO,Maa Dake Khoka,Chandrabindoo,11,2003,0.9,0.673,9,-7.658,0.154,0.12,0.00094,0.0849,0.659,100.014,275.6,4
072krlEvVII8yldKfs2cgy,Jodi Bolo Hya,Chandrabindoo,25,1998,0.542,0.332,2,-6.63,0.0299,0.779,0.0,0.141,0.327,138.592,352.524,4
07IzbmNu8DAjukHhTNOeaJ,Jodi Bhabo Pabe,Chandrabindoo,8,2005,0.468,0.905,4,-6.228,0.0724,0.00198,0.000282,0.0823,0.422,193.872,224.262,4
07qgJazJQyknsbmuJZDL6N,Bhondo,Oblique,23,2018,0.472,0.786,11,-4.025,0.0359,0.364,3.68e-06,0.517,0.344,120.085,280.656,4
082QypyxxyoVU0rRSo4Nkm,Shesh Prohor,Balam,0,2017,0.471,0.898,4,-6.347,0.096,0.616,0.00133,0.0857,0.574,133.046,288.313,4
08IgjdJ0rCy1pAm2N5VLSZ,Bondhurey,Muza,36,2018,0.607,0.646,5,-6.234,0.0819,0.237,0.0,0.179,0.67,100.158,196.855,4
0a2cxKc5iJJZ8qFEPYg2yr,Utshorgo,Aftermath,44,2021,0.485,0.799,1,-8.494,0.0401,0.00104,0.000668,0.118,0.413,137.95,352.139,4
