id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
02LJdBgyfq01WtSX05OJkc,Jalsaghar - Adrishyo Nagordolar Trip,Anupam Roy,17,2023,0.578,0.331,10,-10.499,0.0361,0.939,0.0000223,0.113,0.126,143.946,248.481,3
036Q1Xb7IMzavuIjbSU2aX,Noishobdo,Bangla Five,6,2022,0.674,0.415,4,-11.48,0.0306,0.175,0.00000607,0.107,0.221,122.012,290.147,4
04K08nBMizx2UQeZ4hDUQp,Janina,Sovvota,1,2017,0.539,0.352,11,-14.203,0.0307,0.835,0.0017,0.182,0.29,109.948,222.723,4
06f2IXt2LBVrQzfFBtRw21,Ekhane Poth Amar,Sovvota,1,2017,0.497,0.707,4,-11.786,0.0877,0.00248,0.00287,0.1,0.702,149.97,184.179,4
06k6GyUDtvIgLb4YQftb9G,Na Bola Phul,Meghdol,29,2019,0.657,0.286,11,-14.754,0.0327,0.718,0.01,0.169,0.674,93.917,287.125,4
06zGGUSIzFlKhtIBaTnOOO,Maa Dake Khoka,Chandrabindoo,14,2003,0.9,0.673,9,-7.658,0.154,0.12,0.00094,0.0849,0.659,100.014,275.6,4
072krlEvVII8yldKfs2cgy,Jodi Bolo Hya,Chandrabindoo,28,1998,0.542,0.332,2,-6.63,0.0299,0.779,0,0.141,0.327,138.592,352.524,4
07IzbmNu8DAjukHhTNOeaJ,Jodi Bhabo Pabe,Chandrabindoo,10,2005,0.468,0.905,4,-6.228,0.0724,0.00198,0.000282,0.0823,0.422,193.872,224.262,4
07qgJazJQyknsbmuJZDL6N,Bhondo,Oblique,29,2018,0.472,0.786,11,-4.025,0.0359,0.364,0.00000368,0.517,0.344,120.085,280.656,4
082QypyxxyoVU0rRSo4Nkm,Shesh Prohor,Balam,1,2017,0.471,0.898,4,-6.347,0.096,0.616,0.00133,0.0857,0.574,133.046,288.313,4
08IgjdJ0rCy1pAm2N5VLSZ,Bondhurey,Muza,40,2018,0.745,0.71,5,-5.053,0.172,0.225,0.00000381,0.1,0.732,105.977,200.124,4
0a2cxKc5iJJZ8qFEPYg2yr,Utshorgo,Aftermath,46,2021,0.485,0.799,1,-8.494,0.0401,0.00104,0.000668,0.118,0.413,137.95,352.139,4
0A8EYRX6C8yP2pvexZbgAu,Rokto,Bangla Five,2,2022,0.539,0.847,9,-4.967,0.0866,0.0308,0,0.23,0.334,131.965,286.734,4
0aGklYNgdWiQfeNxoqN1Sc,Atit Mone Porey Kromosho,Balam,5,2017,0.463,0.714,7,-6.241,0.0372,0.675,0.0000191,0.62,0.407,124.986,327.236,4
0ajS0KCtUyW7iWf6ozjaiy,Deshlai Baksho,Anupam Roy,11,2014,0.757,0.755,9,-9.061,0.0347,0.00303,0.0179,0.0553,0.785,123.992,226.267,4
0apG1ss6Igy8IJb7ieltBc,Gaibona,Bassbaba Sumon,40,2007,0.683,0.701,0,-5.967,0.0317,0.114,0.000113,0.19,0.342,79.983,299.293,4
0ATIgtOb90L93EpbGclKm4,Shobar Jonne Tumi,Bassbaba Sumon,17,2007,0.613,0.622,0,-7.655,0.0369,0.00177,0.0000457,0.104,0.411,139.939,289.547,4
0b2xtRnzcYer5OVu9umziP,Dana Vanga Pakhi’r Gaan,JOler gaan,11,2019,0.453,0.363,2,-11.355,0.0364,0.487,0.0000212,0.0255,0.432,122.694,571,3
0BIriQWxqMnoefhBTpkcBJ,Amra Dujon - Female Vocals,Mousumi Banerjee,0,2016,0.593,0.521,2,-9.387,0.0348,0.578,0.00367,0.0896,0.314,119.987,217.078,4
0bkj0REm4WGy8TkgNjuEuJ,Emon Manob Samaj,Sahana Bajpaie,5,2016,0.572,0.24,4,-12.124,0.0453,0.894,0.000538,0.102,0.4,121.258,411.229,4
